,accountId,id,name,profileIconId,puuid,revisionDate,status.message,status.status_code,summonerLevel
15,NmrlXMj65TgY6MnDgPWD8j0MH1PUSXj0fB0umczNk_T0jd0,HMCjN0BU0poPRkWwBFtLV6WNWQ5OuV-IXLHeXCVcExAslgo,lIIIllIlIIlIlIll,4568.0,kR4dZ-CfK4pncl4WDWXJWtrkuvQKHdN724sRzsWedcW0tYILlbl8hGRi8D4t91dXSZ5dYyfBqKbWgw,1595925758000.0,,,83.0
16,P4xylFJBo_Xl3tnEEOHRyE_o10jyFENRZ2YVsfIItaRbBszSd76vE8fT,sJ0n5hdZFR0WDuqdV3VBloy9E0BdJFh9gvL6mDvymMvcZ_M,FPXzhaoAP4506303,4568.0,bRdSF36rmdthWFnjsFKIVp9VjWqdwtr1kTRc60k8NxJBjSrOq9FJoOZwAa_4g0l-UXkCCdgQKLuhBw,1596061122000.0,,,85.0
17,0rP1PLlHfBTlw9pdmtHUyiHL92DW_zfV9UnIHWVA1iMsEg0,9pnLbWA-uzr-d5mphyWPBO1YE4QmOHoPj_nS6AVyIU6CrIA,원딜 왕자 이채환,4561.0,LAl8GWjb01L_5JxVQhvg_0wCBYf1Bm0QOI4WqpiD-xLxFQpPvKFjLRlasadtz45C1olqPWaSi-o50Q,1595845944000.0,,,107.0
18,-ycprNHCSs3hwYC6zdZAyKzEKLwyDT4zSC-R81fshpVB,gKPnm3JlP2-gMlQOOhHofUNKZ9Joc7FFE2uDf9HwsZzqmA,T1 Roach,898.0,c1D_BytSFZTNcbdjQPkfqw8dMg3BJx30bTzNdy_G_UtVCKfI8eHXnjOvVw2pg1lWD4w0x6r3WR5QZA,1596024034000.0,,,410.0
19,p4qeydLdGcr2mIixgBjYAkxbv7Vkj1BjU02AqT8ls7qS,fA5MBuoi4YWOeFDPIhvIBdBrCzLwmnFvuN2JwidWSlm3pg,엉덩국 갱승제로,23.0,eUfhG7-xnxZ-UE3bavoQx0KbgUsAiimWXCn2w3CX1uINyjUmh27IQUgFQZmYHoKkAMFBsrP9xwIB8g,1595906170000.0,,,208.0
20,igaGc8AMHJa3Jby3GNUqSWMFXPOckgkw_5Wc1-H8evEaB_WLhfoN2aqG,9Db5duX382q96zKuqCC8HRrjuVFFYTvAzLo6PgyIYiK1yDc,못할 때도 있지,4405.0,xJrfOugFMzZq3YTY44bTPlRBumANH3W9XYhmxaYovbmmB7kehuryLmhSHiQorqnZP8GPdCJWBdjbYA,1595944121000.0,,,112.0
21,2-GreAOGjUVTOg53qU0OJIsVgqUBGp6de1jCRkbZk1I0EqYT4kSFs6X5,Mj3QDYNOBaGcyrvEZPUtVs066RWOHKk6tDKXIib3n5Cdfp0,I still remember,4629.0,ZxEgrqauxFkacCbjot9k9GnfnC2HcRqqUI3oLmZPsj23SAXHj4P8zS_w-w-WAFcjE6h_MfwKSVX0RQ,1595677591000.0,,,161.0
22,9_59-Tpt2PZLTH6zO0a6_vGISGXv1ALUscvr_m97cSKSYpk,n090TslrFhP5qt4tYmN1kwNh1em8J5hChzVMsw4CCoIuE2U,곽곽보성,4409.0,mYojwoOa0h6OR1d1gkyenlxIL9zpMdBXfQLpnhUePg8DyJMRkoKGKe8MrPg5QwkYY_i3zTUoJKtHHQ,1596096183000.0,,,298.0
23,8NY-ybbj6jAhJsil2BpyNAvnL5vsocB86k9RrVJQkhoqzlrQrZiYut3y,d6HePnNnPzAf8pHWW6G68yVwlVZCiaVe3xlUeW737TAjOQ4,W12L35,4633.0,FlmIdysDt2rR5imBEAD8uBWKS9MTdJtYPu2IzEQrRAi1Uq-q50IKibW8LyctmQFIRFvcwKCAXrF3eQ,1596091340000.0,,,86.0
24,fy5FyvYIN3f-SzxYL1zMnt4zhyUmZ1pKjwmE0kHUZ6GxCufHIlAxWco-,pbK969eqSCtCinftFavhrnXOJufMf63spRpn9aSwuFsxluw,Akashi Seijuro,4568.0,hkCaEC8Zq_Mhm0Sz2oNEg5OFobfTd3-623lHtVHYCpnt1Fhnt5eV7f7VZVYGHZJZmnHq0vHmi3ZUag,1596009887000.0,,,75.0
