,gameId,gameCreation,gameDuration,queueId,mapId,seasonId,gameVersion,gameMode,gameType,summonerName,participantId,teamId,championId,spell1Id,spell2Id,win,item0,item1,item2,item3,item4,item5,item6,kills,deaths,assists,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,unrealKills,totalDamageDealt,magicDamageDealt,physicalDamageDealt,trueDamageDealt,largestCriticalStrike,totalDamageDealtToChampions,magicDamageDealtToChampions,physicalDamageDealtToChampions,trueDamageDealtToChampions,totalHeal,totalUnitsHealed,damageSelfMitigated,damageDealtToObjectives,damageDealtToTurrets,visionScore,timeCCingOthers,totalDamageTaken,magicalDamageTaken,physicalDamageTaken,trueDamageTaken,goldEarned,goldSpent,turretKills,inhibitorKills,totalMinionsKilled,neutralMinionsKilled,neutralMinionsKilledTeamJungle,neutralMinionsKilledEnemyJungle,totalTimeCrowdControlDealt,champLevel,visionWardsBoughtInGame,sightWardsBoughtInGame,wardsPlaced,wardsKilled,firstBloodKill,firstBloodAssist,firstTowerKill,firstTowerAssist,firstInhibitorKill,firstInhibitorAssist,perk0,perk0Var1,perk0Var2,perk0Var3,perk1,perk1Var1,perk1Var2,perk1Var3,perk2,perk2Var1,perk2Var2,perk2Var3,perk3,perk3Var1,perk3Var2,perk3Var3,perk4,perk4Var1,perk4Var2,perk4Var3,perk5,perk5Var1,perk5Var2,perk5Var3,perkPrimaryStyle,perkSubStyle,statPerk0,statPerk1,statPerk2,creepsPerMinDeltas.10-20,creepsPerMinDeltas.0-10,xpPerMinDeltas.10-20,xpPerMinDeltas.0-10,goldPerMinDeltas.10-20,goldPerMinDeltas.0-10,damageTakenPerMinDeltas.10-20,damageTakenPerMinDeltas.0-10,accountId,summonerId,currentAccountId,firstBlood,creepsPerMinDeltas.30-end,creepsPerMinDeltas.20-30,xpPerMinDeltas.30-end,xpPerMinDeltas.20-30,goldPerMinDeltas.30-end,goldPerMinDeltas.20-30,damageTakenPerMinDeltas.30-end,damageTakenPerMinDeltas.20-30
0,4626299944,1599323986960,1570,420,11,13,10.18.333.8889,CLASSIC,MATCHED_GAME,Hide on bush,10.0,200.0,236.0,1.0,4.0,True,3153.0,3031.0,3006.0,3508.0,3094.0,0.0,3363.0,7.0,0.0,5.0,7.0,2.0,0.0,0.0,228634.0,8140.0,217297.0,3197.0,704.0,24087.0,2280.0,21622.0,184.0,1851.0,1.0,12869.0,30444.0,12479.0,47.0,2.0,9283.0,1555.0,7393.0,334.0,15765.0,14350.0,5.0,1.0,240.0,54.0,22.0,22.0,46.0,17.0,6.0,0.0,14.0,11.0,False,False,False,True,True,False,8005.0,1032.0,715.0,316.0,9101.0,4726.0,6018.0,0.0,9103.0,22.0,20.0,0.0,8014.0,371.0,0.0,0.0,8345.0,3.0,0.0,0.0,8304.0,12.0,0.0,0.0,8000.0,8300.0,5005.0,5008.0,5002.0,10.600000000000001,9.4,725.4,504.8,761.5999999999999,357.29999999999995,435.6,136.8,eE5ozQiaIs4T0TASXyXDhDuGr9dEhVlNS38SsbdTF_OS,04E81p_9PA-iPR8e4m1ZsU0Jo8ZsjDNJXJf-KZ3q1dg8Gg,eE5ozQiaIs4T0TASXyXDhDuGr9dEhVlNS38SsbdTF_OS,True,,,,,,,,
1,4626199865,1599320798502,2582,420,11,13,10.18.333.8889,CLASSIC,MATCHED_GAME,Hide on bush,6.0,200.0,58.0,12.0,4.0,False,3153.0,3143.0,3026.0,3812.0,3071.0,3111.0,3363.0,7.0,6.0,11.0,2.0,1.0,744.0,0.0,320761.0,6307.0,302017.0,12436.0,0.0,30642.0,4325.0,26317.0,0.0,12998.0,1.0,67351.0,14168.0,2184.0,52.0,23.0,44998.0,15933.0,21288.0,7777.0,19656.0,18725.0,1.0,0.0,345.0,27.0,5.0,13.0,234.0,18.0,9.0,0.0,25.0,8.0,False,False,False,False,False,False,8005.0,2083.0,1107.0,976.0,9101.0,12122.0,10879.0,0.0,9105.0,16.0,50.0,0.0,8014.0,575.0,0.0,0.0,8304.0,10.0,3.0,0.0,8347.0,0.0,0.0,0.0,8000.0,8300.0,5005.0,5008.0,5003.0,8.1,8.1,592.2,480.09999999999997,544.9,324.7,1172.1,428.4,eE5ozQiaIs4T0TASXyXDhDuGr9dEhVlNS38SsbdTF_OS,04E81p_9PA-iPR8e4m1ZsU0Jo8ZsjDNJXJf-KZ3q1dg8Gg,eE5ozQiaIs4T0TASXyXDhDuGr9dEhVlNS38SsbdTF_OS,True,8.899999999999999,7.6,778.7,544.0999999999999,523.5,435.9,1159.6999999999998,916.8
2,4626221231,1599318571327,1749,420,11,13,10.18.333.8889,CLASSIC,MATCHED_GAME,Hide on bush,5.0,100.0,236.0,1.0,4.0,False,2033.0,3140.0,3006.0,3508.0,3031.0,3094.0,3363.0,3.0,2.0,6.0,2.0,1.0,1055.0,0.0,211056.0,10802.0,192589.0,7664.0,708.0,18610.0,1574.0,16827.0,208.0,532.0,1.0,10313.0,3030.0,3030.0,56.0,1.0,14473.0,6710.0,7506.0,257.0,12971.0,12800.0,1.0,0.0,258.0,42.0,30.0,7.0,86.0,16.0,8.0,0.0,16.0,17.0,False,False,False,False,False,False,8005.0,1006.0,513.0,493.0,9101.0,1872.0,2148.0,0.0,9103.0,26.0,0.0,0.0,8014.0,219.0,0.0,0.0,8275.0,8.0,0.0,0.0,8210.0,0.0,0.0,0.0,8000.0,8200.0,5005.0,5008.0,5003.0,7.5,9.8,472.1,508.2,435.09999999999997,342.3,531.6,174.1,eE5ozQiaIs4T0TASXyXDhDuGr9dEhVlNS38SsbdTF_OS,04E81p_9PA-iPR8e4m1ZsU0Jo8ZsjDNJXJf-KZ3q1dg8Gg,eE5ozQiaIs4T0TASXyXDhDuGr9dEhVlNS38SsbdTF_OS,False,,,,,,,,
3,4623870331,1599238194662,2323,420,11,13,10.18.333.8889,CLASSIC,MATCHED_GAME,Hide on bush,10.0,200.0,69.0,1.0,4.0,True,3040.0,3157.0,3135.0,3089.0,3027.0,3165.0,3363.0,12.0,2.0,13.0,10.0,2.0,884.0,0.0,360632.0,342977.0,8273.0,9381.0,0.0,39134.0,37922.0,300.0,910.0,26294.0,1.0,29172.0,38578.0,6783.0,55.0,29.0,37566.0,11779.0,24862.0,924.0,21668.0,19925.0,3.0,1.0,340.0,39.0,27.0,0.0,327.0,18.0,13.0,0.0,24.0,13.0,False,False,False,False,False,False,8230.0,18.0,0.0,0.0,8226.0,250.0,2315.0,0.0,8210.0,20.0,0.0,0.0,8237.0,637.0,0.0,0.0,8139.0,1598.0,0.0,0.0,8135.0,11087.0,5.0,0.0,8200.0,8100.0,5007.0,5008.0,5002.0,11.3,7.5,697.9,414.0,481.5,264.1,435.8,321.4,eE5ozQiaIs4T0TASXyXDhDuGr9dEhVlNS38SsbdTF_OS,04E81p_9PA-iPR8e4m1ZsU0Jo8ZsjDNJXJf-KZ3q1dg8Gg,eE5ozQiaIs4T0TASXyXDhDuGr9dEhVlNS38SsbdTF_OS,False,12.6,7.6000000000000005,851.8,579.0,857.4,629.2,1635.2,1540.9
4,4623721699,1599235189431,1928,420,11,13,10.18.333.8889,CLASSIC,MATCHED_GAME,Hide on bush,8.0,200.0,421.0,11.0,4.0,True,3143.0,3134.0,1400.0,3111.0,3026.0,1037.0,3364.0,6.0,2.0,8.0,5.0,1.0,201.0,0.0,253457.0,10894.0,211785.0,30777.0,0.0,13496.0,0.0,10089.0,3407.0,20763.0,1.0,28197.0,34977.0,3564.0,53.0,18.0,30813.0,9080.0,20677.0,1054.0,14455.0,12135.0,1.0,1.0,52.0,207.0,113.0,45.0,543.0,17.0,7.0,0.0,22.0,15.0,False,False,False,False,False,False,9923.0,34.0,87.0,0.0,8126.0,430.0,0.0,0.0,8136.0,14.0,30.0,0.0,8105.0,16.0,5.0,0.0,8275.0,21.0,0.0,0.0,8232.0,4.0,30.0,0.0,8100.0,8200.0,5005.0,5008.0,5002.0,0.7999999999999999,0.2,576.1,334.8,452.6,286.0,1045.3000000000002,761.0,eE5ozQiaIs4T0TASXyXDhDuGr9dEhVlNS38SsbdTF_OS,04E81p_9PA-iPR8e4m1ZsU0Jo8ZsjDNJXJf-KZ3q1dg8Gg,eE5ozQiaIs4T0TASXyXDhDuGr9dEhVlNS38SsbdTF_OS,False,,2.5,,681.7,,498.7,,1067.5
5,4623636204,1599233693218,1147,420,11,13,10.18.333.8889,CLASSIC,MATCHED_GAME,Hide on bush,8.0,200.0,517.0,12.0,4.0,False,3030.0,3157.0,0.0,3020.0,0.0,0.0,3340.0,3.0,3.0,2.0,3.0,1.0,863.0,0.0,72516.0,64594.0,5316.0,2605.0,0.0,8762.0,8457.0,305.0,0.0,5150.0,1.0,12175.0,3660.0,3018.0,16.0,14.0,16467.0,5234.0,10339.0,893.0,7648.0,7425.0,0.0,0.0,137.0,10.0,8.0,0.0,266.0,12.0,4.0,0.0,9.0,1.0,False,False,False,False,False,False,8021.0,2459.0,0.0,0.0,8009.0,1003.0,500.0,0.0,9105.0,14.0,0.0,0.0,8014.0,88.0,0.0,0.0,8345.0,3.0,0.0,0.0,8347.0,0.0,0.0,0.0,8000.0,8300.0,5008.0,5008.0,5002.0,,8.0,,493.7,,326.29999999999995,,426.6,eE5ozQiaIs4T0TASXyXDhDuGr9dEhVlNS38SsbdTF_OS,04E81p_9PA-iPR8e4m1ZsU0Jo8ZsjDNJXJf-KZ3q1dg8Gg,eE5ozQiaIs4T0TASXyXDhDuGr9dEhVlNS38SsbdTF_OS,True,,,,,,,,
6,4623488833,1599231506566,1444,420,11,13,10.18.333.8889,CLASSIC,MATCHED_GAME,Hide on bush,8.0,200.0,429.0,3.0,4.0,True,3153.0,3046.0,3006.0,1053.0,1038.0,0.0,3363.0,4.0,3.0,5.0,2.0,1.0,533.0,0.0,116801.0,3452.0,110037.0,3312.0,492.0,11675.0,847.0,10617.0,210.0,1734.0,1.0,10560.0,11911.0,4385.0,21.0,14.0,10646.0,2972.0,7299.0,374.0,10609.0,9975.0,1.0,0.0,194.0,17.0,5.0,8.0,244.0,14.0,1.0,0.0,9.0,6.0,False,False,False,False,,,9923.0,41.0,85.0,0.0,8139.0,459.0,0.0,0.0,8120.0,1.0,6.0,4.0,8135.0,1020.0,5.0,0.0,9101.0,3079.0,3868.0,0.0,9103.0,0.0,0.0,0.0,8100.0,8000.0,5005.0,5008.0,5002.0,10.1,7.6,599.7,414.7,582.9000000000001,256.7,550.0999999999999,371.3,eE5ozQiaIs4T0TASXyXDhDuGr9dEhVlNS38SsbdTF_OS,04E81p_9PA-iPR8e4m1ZsU0Jo8ZsjDNJXJf-KZ3q1dg8Gg,eE5ozQiaIs4T0TASXyXDhDuGr9dEhVlNS38SsbdTF_OS,True,,,,,,,,
7,4621710361,1599155450087,1759,420,11,13,10.18.333.8889,CLASSIC,MATCHED_GAME,Hide on bush,2.0,100.0,84.0,14.0,4.0,True,3146.0,3157.0,2055.0,1056.0,3020.0,3089.0,3363.0,7.0,1.0,3.0,7.0,2.0,1701.0,0.0,151026.0,125804.0,22382.0,2838.0,0.0,19594.0,16748.0,1916.0,930.0,10719.0,1.0,13681.0,3735.0,688.0,34.0,3.0,17428.0,6092.0,11004.0,331.0,12727.0,12175.0,0.0,0.0,259.0,14.0,4.0,9.0,54.0,17.0,7.0,0.0,15.0,5.0,False,False,False,False,,,8021.0,3075.0,0.0,0.0,8009.0,334.0,50.0,0.0,9105.0,17.0,20.0,0.0,8014.0,286.0,0.0,0.0,8139.0,932.0,0.0,0.0,8135.0,2286.0,5.0,0.0,8000.0,8100.0,5008.0,5008.0,5002.0,11.3,7.6,646.9,462.1,469.9,256.9,484.8,231.3,eE5ozQiaIs4T0TASXyXDhDuGr9dEhVlNS38SsbdTF_OS,04E81p_9PA-iPR8e4m1ZsU0Jo8ZsjDNJXJf-KZ3q1dg8Gg,eE5ozQiaIs4T0TASXyXDhDuGr9dEhVlNS38SsbdTF_OS,True,,,,,,,,
8,4621665985,1599152921125,1817,420,11,13,10.18.333.8889,CLASSIC,MATCHED_GAME,Hide on bush,7.0,200.0,875.0,11.0,4.0,False,3190.0,2055.0,1401.0,3111.0,3742.0,0.0,3364.0,2.0,5.0,11.0,0.0,1.0,733.0,0.0,147316.0,50941.0,83434.0,12940.0,0.0,15232.0,1859.0,8525.0,4847.0,6531.0,1.0,36385.0,5518.0,0.0,30.0,33.0,34449.0,15608.0,17783.0,1057.0,9716.0,9600.0,0.0,0.0,44.0,120.0,101.0,4.0,381.0,14.0,10.0,0.0,10.0,7.0,False,False,False,False,False,False,8230.0,20.0,0.0,0.0,8275.0,21.0,0.0,0.0,8234.0,10059.0,0.0,0.0,8232.0,2.0,10.0,0.0,8345.0,3.0,0.0,0.0,8410.0,65.0,0.0,0.0,8200.0,8300.0,5005.0,5008.0,5002.0,2.0,0.4,461.5,351.79999999999995,323.0,268.6,1293.4,745.7,eE5ozQiaIs4T0TASXyXDhDuGr9dEhVlNS38SsbdTF_OS,04E81p_9PA-iPR8e4m1ZsU0Jo8ZsjDNJXJf-KZ3q1dg8Gg,eE5ozQiaIs4T0TASXyXDhDuGr9dEhVlNS38SsbdTF_OS,True,,2.0,,484.1,,326.5,,1405.8
9,4620368148,1599119014574,1271,420,11,13,10.18.333.8889,CLASSIC,MATCHED_GAME,Hide on bush,1.0,100.0,236.0,12.0,4.0,False,3153.0,3044.0,3067.0,1055.0,3006.0,1055.0,3363.0,3.0,2.0,0.0,2.0,1.0,478.0,0.0,85151.0,2467.0,81843.0,840.0,0.0,10597.0,818.0,9712.0,66.0,484.0,1.0,6190.0,2437.0,196.0,19.0,2.0,8352.0,1822.0,6463.0,66.0,8368.0,7900.0,0.0,0.0,154.0,16.0,5.0,4.0,55.0,12.0,2.0,0.0,9.0,3.0,False,False,False,False,,,8005.0,857.0,578.0,278.0,9101.0,3552.0,2393.0,0.0,9104.0,20.0,10.0,0.0,8014.0,167.0,0.0,0.0,8304.0,10.0,3.0,0.0,8345.0,3.0,0.0,0.0,8000.0,8300.0,5005.0,5008.0,5002.0,6.9,8.0,490.4,432.90000000000003,466.90000000000003,296.9,446.5,327.2,eE5ozQiaIs4T0TASXyXDhDuGr9dEhVlNS38SsbdTF_OS,04E81p_9PA-iPR8e4m1ZsU0Jo8ZsjDNJXJf-KZ3q1dg8Gg,eE5ozQiaIs4T0TASXyXDhDuGr9dEhVlNS38SsbdTF_OS,False,,,,,,,,
